Date,Revenue,Day of Month,Month,Year,Day of Week,Week of Year
6/5/2021,7470.85,0.498614781,1,2021,0.444357246,0.970650247
6/8/2021,4804.77,0.741430732,1,2021,0.779402766,0.983390082
6/9/2021,2817.84,0.807322121,1,2021,0.973614316,0.983390082
6/10/2021,4718.56,0.864422204,1,2021,0.97662784,0.983390082
6/11/2021,7302.87,0.912109192,1,2021,0.787851543,0.983390082
6/12/2021,8231.68,0.949863801,1,2021,0.444357246,0.983390082
6/14/2021,0.00,0.994044003,1,2021,0.432132383,0.992548189
6/15/2021,4456.15,0.999988498,1,2021,0.779402766,0.992548189
6/16/2021,4836.12,0.995043654,1,2021,0.973614316,0.992548189
6/17/2021,3678.02,0.979263318,1,2021,0.97662784,0.992548189
6/18/2021,6714.72,0.95281933,1,2021,0.787851543,0.992548189
6/19/2021,14917.29,0.915999649,1,2021,0.444357246,0.992548189
6/21/2021,196.21,0.81294562,1,2021,0.432132383,0.998091215
6/22/2021,5363.52,0.747833474,1,2021,0.779402766,0.998091215
