,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
251,1/28/2021,954.55, Thursday,28,1,21," 1,990.75", 722.00," 1,924.50"
252,2/3/2021,0.00, Wednesday,3,2,21," 1,743.00", 785.50," 1,450.00"
253,2/5/2021,0.00, Friday,5,2,21, 723.87, 312.50,
254,2/9/2021,"3,576.45", Tuesday,9,2,21," 1,355.00", 154.50," 1,141.00"
255,2/10/2021,"1,143.53", Wednesday,10,2,21," 2,217.50", 641.25," 1,530.88"
256,2/11/2021,"3,615.19", Thursday,11,2,21," 3,133.00", 917.25," 1,615.75"
257,2/12/2021,"6,137.51", Friday,12,2,21, 958.54, 292.50," 1,042.25"
258,2/13/2021,"5,188.60", Saturday,13,2,21, 416.75, 617.75, 586.50
259,2/16/2021,"1,345.27", Tuesday,16,2,21," 1,766.00", 728.00," 1,190.00"
260,2/18/2021,"3,496.29", Thursday,18,2,21," 2,638.50"," 1,074.25"," 1,443.25"
261,2/19/2021,"5,854.86", Friday,19,2,21," 3,244.75", 816.00," 1,898.50"
262,2/20/2021,"7,517.34", Saturday,20,2,21," 1,163.81", 305.00, 780.35
263,2/23/2021,"3,156.50", Tuesday,23,2,21," 1,165.50", 323.50, 458.65
264,2/24/2021,"2,095.57", Wednesday,24,2,21," 1,309.50", 578.50, 924.00
265,2/25/2021,"4,791.98", Thursday,25,2,21," 2,368.47", 750.50," 1,813.92"
266,2/26/2021,"6,707.30", Friday,26,2,21," 2,384.50", 719.50," 2,130.61"
267,2/27/2021,"8,001.91", Saturday,27,2,21," 1,193.24", 441.75, 894.91
268,3/1/2021,0.00, Monday,1,3,21,"ivery

 Total

 1,378.20", 809.50, 762.75
269,3/2/2021,"4,758.10", Tuesday,2,3,21," 1,392.50", 591.75," 1,128.75"
270,3/3/2021,"4,351.81", Wednesday,3,3,21," 2,257.75", 959.25," 2,038.25"
271,3/4/2021,"5,350.71", Thursday,4,3,21,"ivery

 Total

 2,081.25", 975.50," 1,628.50"
272,3/5/2021,"8,607.85", Friday,5,3,21," 1,179.90", 585.00," 1,084.38"
273,3/6/2021,"10,689.72", Saturday,6,3,21," 1,760.50", 371.00, 860.75
274,3/8/2021,0.00, Monday,8,3,21," 2,109.25", 743.00," 1,226.50"
275,3/9/2021,"4,830.32", Tuesday,9,3,21," 1,973.25"," 1,164.50"," 1,269.49"
276,3/10/2021,"5,276.38", Wednesday,10,3,21,"ivery

 Total

 2,439.50", 710.00," 2,106.50"
277,3/11/2021,"4,718.43", Thursday,11,3,21," 1,445.46", 527.00, 855.37
278,3/12/2021,"6,901.86", Friday,12,3,21, 994.25, 633.25, 917.50
279,3/13/2021,"8,728.13", Saturday,13,3,21," 1,432.00", 629.50, 785.25
280,3/15/2021,0.00, Monday,15,3,21," 2,606.50", 871.00," 1,481.00"
281,3/16/2021,"5,724.54", Tuesday,16,3,21," 2,425.25"," 1,212.25"," 1,744.00"
282,3/17/2021,"3,915.10", Wednesday,17,3,21,0.00,, 0.00
283,3/18/2021,"5,423.96", Thursday,18,3,21," 1,446.38", 303.47, 998.23
284,3/19/2021,"8,760.75", Friday,19,3,21, 656.25, 342.00, 761.75
285,3/20/2021,"10,155.96", Saturday,20,3,21," 1,514.50", 437.00," 1,020.00"
286,3/22/2021,0.00, Monday,22,3,21," 4,225.76", 761.50," 1,056.00"
287,3/23/2021,"5,538.14", Tuesday,23,3,21," 1,514.00", 785.50, 643.50
288,3/24/2021,"3,352.33", Wednesday,24,3,21," 1,434.87", 670.00," 1,169.78"
289,3/25/2021,"5,451.07", Thursday,25,3,21, 744.25, 469.50, 714.00
290,3/26/2021,"10,973.21", Friday,26,3,21," 1,424.25", 259.00, 998.75
291,3/27/2021,"12,303.56", Saturday,27,3,21," 2,595.75"," 1,562.50"," 2,263.25"
292,3/29/2021,0.00, Monday,29,3,21," 2,942.50"," 2,201.75"," 2,236.00"
293,3/30/2021,"6,226.03", Tuesday,30,3,21,"ivery

 Total

 1,342.71", 633.00," 1,186.80"
294,3/31/2021,"3,666.56", Wednesday,31,3,21," 1,482.25", 705.75, 860.00
295,4/1/2021,"6,912.70", Thursday,1,4,21," 1,877.99", 626.00," 1,272.75"
