Date,Revenue,Day of Week,Day of Month,Month,Year,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
9/29/2020,4687.28,Tuesday,29,9,2020,1743.5,4191.46,18481.23,16319.03,8506.59,2674.18,4362.19,56278.18
9/30/2020,3267.06,Wednesday,30,9,2020,4687.28,1743.5,4191.46,18481.23,16319.03,8506.59,2674.18,56603.27
10/1/2020,6439.47,Thursday,1,10,2020,3267.06,4687.28,1743.5,4191.46,18481.23,16319.03,8506.59,57196.15
10/2/2020,14053.29,Friday,2,10,2020,6439.47,3267.06,4687.28,1743.5,4191.46,18481.23,16319.03,55129.03
10/3/2020,20591.8,Saturday,3,10,2020,14053.29,6439.47,3267.06,4687.28,1743.5,4191.46,18481.23,52863.29
10/4/2020,5489.2,Sunday,4,10,2020,20591.8,14053.29,6439.47,3267.06,4687.28,1743.5,4191.46,54973.86
10/5/2020,2361.25,Monday,5,10,2020,5489.2,20591.8,14053.29,6439.47,3267.06,4687.28,1743.5,56271.6
10/6/2020,4315.43,Tuesday,6,10,2020,2361.25,5489.2,20591.8,14053.29,6439.47,3267.06,4687.28,56889.35
10/7/2020,2722.74,Wednesday,7,10,2020,4315.43,2361.25,5489.2,20591.8,14053.29,6439.47,3267.06,56517.5
10/8/2020,3307.49,Thursday,8,10,2020,2722.74,4315.43,2361.25,5489.2,20591.8,14053.29,6439.47,55973.18
10/9/2020,6461.58,Friday,9,10,2020,3307.49,2722.74,4315.43,2361.25,5489.2,20591.8,14053.29,52841.2
10/10/2020,5718.13,Saturday,10,10,2020,6461.58,3307.49,2722.74,4315.43,2361.25,5489.2,20591.8,45249.49
10/11/2020,3516.86,Sunday,11,10,2020,5718.13,6461.58,3307.49,2722.74,4315.43,2361.25,5489.2,30375.82
10/12/2020,3511.97,Monday,12,10,2020,3516.86,5718.13,6461.58,3307.49,2722.74,4315.43,2361.25,28403.48
10/13/2020,4745.29,Tuesday,13,10,2020,3511.97,3516.86,5718.13,6461.58,3307.49,2722.74,4315.43,29554.2
10/14/2020,2523.5,Wednesday,14,10,2020,4745.29,3511.97,3516.86,5718.13,6461.58,3307.49,2722.74,29984.06
10/15/2020,4510.31,Thursday,15,10,2020,2523.5,4745.29,3511.97,3516.86,5718.13,6461.58,3307.49,29784.82
10/16/2020,9805.13,Friday,16,10,2020,4510.31,2523.5,4745.29,3511.97,3516.86,5718.13,6461.58,30987.64
10/17/2020,11971.25,Saturday,17,10,2020,9805.13,4510.31,2523.5,4745.29,3511.97,3516.86,5718.13,34331.19
10/18/2020,3440.48,Sunday,18,10,2020,11971.25,9805.13,4510.31,2523.5,4745.29,3511.97,3516.86,40584.31
10/19/2020,2717.83,Monday,19,10,2020,3440.48,11971.25,9805.13,4510.31,2523.5,4745.29,3511.97,40507.93
10/20/2020,5452.58,Tuesday,20,10,2020,2717.83,3440.48,11971.25,9805.13,4510.31,2523.5,4745.29,39713.79
10/21/2020,2803.28,Wednesday,21,10,2020,5452.58,2717.83,3440.48,11971.25,9805.13,4510.31,2523.5,40421.08
10/22/2020,5719.32,Thursday,22,10,2020,2803.28,5452.58,2717.83,3440.48,11971.25,9805.13,4510.31,40700.86
10/23/2020,5584.53,Friday,23,10,2020,5719.32,2803.28,5452.58,2717.83,3440.48,11971.25,9805.13,41909.87
10/24/2020,7458.47,Saturday,24,10,2020,5584.53,5719.32,2803.28,5452.58,2717.83,3440.48,11971.25,37689.27
10/25/2020,2893.97,Sunday,25,10,2020,7458.47,5584.53,5719.32,2803.28,5452.58,2717.83,3440.48,33176.49
10/26/2020,1552.97,Monday,26,10,2020,2893.97,7458.47,5584.53,5719.32,2803.28,5452.58,2717.83,32629.98
11/2/2020,3593.1,Monday,2,11,2020,1552.97,2893.97,7458.47,5584.53,5719.32,2803.28,5452.58,31465.12
11/3/2020,5971.62,Tuesday,3,11,2020,3593.1,1552.97,2893.97,7458.47,5584.53,5719.32,2803.28,29605.64
11/4/2020,2412.38,Wednesday,4,11,2020,5971.62,3593.1,1552.97,2893.97,7458.47,5584.53,5719.32,32773.98
11/5/2020,5560.98,Thursday,5,11,2020,2412.38,5971.62,3593.1,1552.97,2893.97,7458.47,5584.53,29467.04
11/6/2020,11275.49,Friday,6,11,2020,5560.98,2412.38,5971.62,3593.1,1552.97,2893.97,7458.47,29443.49
11/7/2020,19262.51,Saturday,7,11,2020,11275.49,5560.98,2412.38,5971.62,3593.1,1552.97,2893.97,33260.51
11/8/2020,4757.6,Sunday,8,11,2020,19262.51,11275.49,5560.98,2412.38,5971.62,3593.1,1552.97,49629.05
11/9/2020,1877.14,Monday,9,11,2020,4757.6,19262.51,11275.49,5560.98,2412.38,5971.62,3593.1,52833.68
11/10/2020,4575.06,Tuesday,10,11,2020,1877.14,4757.6,19262.51,11275.49,5560.98,2412.38,5971.62,51117.72
11/11/2020,3077.29,Wednesday,11,11,2020,4575.06,1877.14,4757.6,19262.51,11275.49,5560.98,2412.38,49721.16
11/12/2020,6879.1,Thursday,12,11,2020,3077.29,4575.06,1877.14,4757.6,19262.51,11275.49,5560.98,50386.07
11/13/2020,8266.16,Friday,13,11,2020,6879.1,3077.29,4575.06,1877.14,4757.6,19262.51,11275.49,51704.19
11/14/2020,6107.91,Saturday,14,11,2020,8266.16,6879.1,3077.29,4575.06,1877.14,4757.6,19262.51,48694.86
11/15/2020,2363.81,Sunday,15,11,2020,6107.91,8266.16,6879.1,3077.29,4575.06,1877.14,4757.6,35540.26
11/16/2020,2273.35,Monday,16,11,2020,2363.81,6107.91,8266.16,6879.1,3077.29,4575.06,1877.14,33146.47
11/17/2020,6231.69,Tuesday,17,11,2020,2273.35,2363.81,6107.91,8266.16,6879.1,3077.29,4575.06,33542.68
11/18/2020,2706.46,Wednesday,18,11,2020,6231.69,2273.35,2363.81,6107.91,8266.16,6879.1,3077.29,35199.31
11/19/2020,3292.98,Thursday,19,11,2020,2706.46,6231.69,2273.35,2363.81,6107.91,8266.16,6879.1,34828.48
11/20/2020,10617.62,Friday,20,11,2020,3292.98,2706.46,6231.69,2273.35,2363.81,6107.91,8266.16,31242.36
11/21/2020,13863.84,Saturday,21,11,2020,10617.62,3292.98,2706.46,6231.69,2273.35,2363.81,6107.91,33593.82
11/22/2020,4331.28,Sunday,22,11,2020,13863.84,10617.62,3292.98,2706.46,6231.69,2273.35,2363.81,41349.75
11/23/2020,3405.75,Monday,23,11,2020,4331.28,13863.84,10617.62,3292.98,2706.46,6231.69,2273.35,43317.22
11/24/2020,2665.21,Tuesday,24,11,2020,3405.75,4331.28,13863.84,10617.62,3292.98,2706.46,6231.69,44449.62
11/25/2020,1739.77,Wednesday,25,11,2020,2665.21,3405.75,4331.28,13863.84,10617.62,3292.98,2706.46,40883.14
11/27/2020,2341.31,Friday,27,11,2020,1739.77,2665.21,3405.75,4331.28,13863.84,10617.62,3292.98,39916.45
11/28/2020,2378.71,Saturday,28,11,2020,2341.31,1739.77,2665.21,3405.75,4331.28,13863.84,10617.62,38964.78
11/29/2020,2209.27,Sunday,29,11,2020,2378.71,2341.31,1739.77,2665.21,3405.75,4331.28,13863.84,30725.87
11/30/2020,1129.74,Monday,30,11,2020,2209.27,2378.71,2341.31,1739.77,2665.21,3405.75,4331.28,19071.3
12/1/2020,3360.86,Tuesday,1,12,2020,1129.74,2209.27,2378.71,2341.31,1739.77,2665.21,3405.75,15869.76
12/2/2020,2116.58,Wednesday,2,12,2020,3360.86,1129.74,2209.27,2378.71,2341.31,1739.77,2665.21,15824.87
12/3/2020,3086.87,Thursday,3,12,2020,2116.58,3360.86,1129.74,2209.27,2378.71,2341.31,1739.77,15276.24
